Job 9690           , total_duration: 263.859984ms   , real_time_elapsed: 501.248995ms   
Job 9688           , total_duration: 274.410016ms   , real_time_elapsed: 701.747875ms   
Job 9683           , total_duration: 11.734ms       , real_time_elapsed: 100.312817ms   
Job 9684           , total_duration: 465.66ms       , real_time_elapsed: 2.406581906s   
Job 9691           , total_duration: 1.966699904s   , real_time_elapsed: 6.618227265s   
Job 9686           , total_duration: 1.0718s        , real_time_elapsed: 5.415324537s   
Job 9687           , total_duration: 1.221299968s   , real_time_elapsed: 6.01778757s    
Job 9681           , total_duration: 108.67ms       , real_time_elapsed: 200.783478ms   
Job 9677           , total_duration: 13.626ms       , real_time_elapsed: 100.116003ms   
Job 9680           , total_duration: 398.76ms       , real_time_elapsed: 1.504247814s   
Job 9679           , total_duration: 183.85ms       , real_time_elapsed: 601.295624ms   
Job 9682           , total_duration: 1.4068s        , real_time_elapsed: 5.418481843s   
Job 9678           , total_duration: 654.32ms       , real_time_elapsed: 2.105556556s   
Job 9685           , total_duration: 2.70009984s    , real_time_elapsed: 10.63251046s   
Job 9676           , total_duration: 43.074ms       , real_time_elapsed: 100.282287ms   
Job 9675           , total_duration: 21.428ms       , real_time_elapsed: 100.097983ms   
Job 9689           , total_duration: 4.533500416s   , real_time_elapsed: 13.740694615s  
Job 9674           , total_duration: 114.19ms       , real_time_elapsed: 200.276615ms   
Job 9673           , total_duration: 184.97ms       , real_time_elapsed: 200.487184ms   
Job 9672           , total_duration: 94.981ms       , real_time_elapsed: 100.252613ms   
Job 9671           , total_duration: 121.97ms       , real_time_elapsed: 200.739496ms   
Job 9670           , total_duration: 115.79ms       , real_time_elapsed: 200.539433ms   
Job 9669           , total_duration: 55.259ms       , real_time_elapsed: 100.309764ms   
Job 9668           , total_duration: 43.564ms       , real_time_elapsed: 100.305077ms   
Job 9667           , total_duration: 905.329984ms   , real_time_elapsed: 1.003445333s   
Job 9666           , total_duration: 225.42ms       , real_time_elapsed: 300.815071ms   
